Date,Time,millisecs,Ch1:Deg F,Ch2:Deg F,Ch3:,Ch4:Deg F
08/03/2009,07:15:51,148,74.688,67.014,10.423,72.438
08/03/2009,07:15:53,837,74.928,66.974,10.399,71.960
08/03/2009,07:15:56,526,74.487,66.974,10.374,72.357
08/03/2009,07:15:59,215,74.163,66.974,10.358,72.789
08/03/2009,07:16:01,903,74.928,66.974,10.333,72.278
08/03/2009,07:16:04,592,74.808,66.974,10.309,72.278
08/03/2009,07:16:07,281,74.848,66.974,10.285,71.920
08/03/2009,07:16:09,969,74.487,66.974,10.260,72.000
08/03/2009,07:16:12,658,75.048,66.933,10.236,71.637
08/03/2009,07:16:15,347,75.207,66.974,10.219,71.397
08/03/2009,07:16:18,036,74.888,66.933,10.195,71.395
08/03/2009,07:16:20,724,75.008,66.893,10.170,70.992
08/03/2009,07:16:23,413,74.406,66.893,10.146,71.555
08/03/2009,07:16:26,102,74.487,66.893,10.130,71.272
08/03/2009,07:16:28,790,73.877,66.893,10.105,71.353
08/03/2009,07:16:31,479,73.631,66.852,10.081,71.553
08/03/2009,07:16:34,168,73.304,66.852,10.065,71.270
08/03/2009,07:16:36,857,72.867,66.812,10.040,71.470
08/03/2009,07:16:39,545,72.987,66.812,10.016,71.146
08/03/2009,07:16:42,234,72.465,66.812,4.499,71.430
08/03/2009,07:16:44,923,72.384,66.731,9.967,71.062
08/03/2009,07:16:47,612,71.936,66.731,9.950,71.264
08/03/2009,07:16:50,300,71.488,66.690,9.926,71.384
08/03/2009,07:16:52,989,71.527,66.649,9.910,70.980
08/03/2009,07:16:55,678,70.970,66.649,9.885,71.220
08/03/2009,07:16:58,366,70.970,66.608,9.853,70.900
08/03/2009,07:17:01,055,70.446,66.568,9.844,71.216
08/03/2009,07:17:03,744,70.446,66.486,9.820,71.012
08/03/2009,07:17:06,433,70.201,66.486,9.804,70.895
08/03/2009,07:17:09,121,69.632,66.445,9.779,70.971
08/03/2009,07:17:11,810,69.914,66.363,9.755,70.338
08/03/2009,07:17:14,499,70.037,66.363,9.739,69.535
08/03/2009,07:17:17,187,69.711,66.322,9.714,69.534
08/03/2009,07:17:19,876,69.513,66.239,9.690,69.570
08/03/2009,07:17:22,565,68.991,66.159,9.673,69.970
08/03/2009,07:17:25,254,69.313,66.120,9.657,69.242
08/03/2009,07:17:27,942,68.829,66.081,9.624,69.201
08/03/2009,07:17:30,631,69.072,66.002,9.608,68.845
08/03/2009,07:17:33,320,69.273,65.963,9.584,68.286
08/03/2009,07:17:36,008,69.112,65.923,9.559,68.205
08/03/2009,07:17:38,697,69.790,65.844,9.543,67.594
08/03/2009,07:17:41,386,69.711,65.804,9.519,67.552
08/03/2009,07:17:44,075,69.914,65.725,9.494,67.118
08/03/2009,07:17:46,763,69.393,65.685,9.478,66.959
08/03/2009,07:17:49,452,69.072,65.606,9.461,66.878
08/03/2009,07:17:52,141,69.233,65.526,9.437,66.438
08/03/2009,07:17:54,829,68.585,65.486,9.421,66.715
08/03/2009,07:17:57,518,68.707,65.406,9.396,66.073
08/03/2009,07:18:00,207,68.585,65.366,9.380,65.910
08/03/2009,07:18:02,896,68.216,65.286,9.356,65.588
08/03/2009,07:18:05,584,68.544,65.205,9.331,65.117
08/03/2009,07:18:08,273,68.092,65.125,9.315,65.114
08/03/2009,07:18:10,962,67.773,65.044,9.290,64.716
